"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/7d354ef2-b2a8-4276-8c12-5be7f6301ae0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","풍월량 (hanryang1125)","1606509015","148350","26407","10828","606248","111806","24553484","true","false","Korean","풍월량 (hanryang1125)"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/446206f8-0acf-4090-8948-89c09794ccbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Riot_esports_Korea","1216282335","54420","93094","22349","1384798","198457","48098468","true","false","Korean","Riot_esports_Korea"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/dbb514f1-469b-479e-b5ba-3ac0f09a2776-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","얍얍 (yapyap30)","1040729055","162315","25891","6411","329016","88604","20720798","true","false","Korean","얍얍 (yapyap30)"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/saddummy-profile_image-925b92caa01026ae-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","서새봄냥 (saddummy)","992764920","191235","18284","5190","657679","174911","21147728","true","false","Korean","서새봄냥 (saddummy)"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/c5a2baa2-74ed-4b72-b047-8326572c9bfa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","한동숙 (handongsuk)","877308990","164880","23533","5320","558073","128600","15084402","true","false","Korean","한동숙 (handongsuk)"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/524c60f5-2adc-4886-8cb0-9ba5c878fe46-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","따효니 (ddahyoni)","677227230","103050","31779","6571","364500","84214","10968887","true","false","Korean","따효니 (ddahyoni)"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/d1c04945-21aa-4e5b-8b94-86f2be895e0d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","룩삼 (looksam)","532558140","126615","20421","4205","307819","86466","11293552","true","false","Korean","룩삼 (looksam)"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/b2eb8a23-d6ad-45aa-bd8e-062133b64452-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Faker","509630175","23010","43258","22147","3842918","521086","23516059","true","false","Korean","Faker"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/kimdoe-profile_image-354ecea9a42c41e9-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","김도 (kimdoe)","504809460","131670","16403","3833","318592","99151","12277610","true","true","Korean","김도 (kimdoe)"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/ebc60c08-721b-4572-8f51-8be7136a0c96-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","우왁굳 (woowakgood)","459636315","135945","29453","3380","957397","152466","12037505","true","false","Korean","우왁굳 (woowakgood)"