"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/f4b12683-57ff-4b57-926a-67512b43a7ff-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gaules","9690561645","523200","669678","18521","3847490","575880","true","true","Portuguese","Gaules"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/c07acddc-1e1b-479f-97c4-09636f80e857-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loud_coringa","3905865345","94170","198645","41476","4059575","987789","true","false","Portuguese","loud_coringa"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/32805a78-d927-48bd-8089-bf5efed53ea4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","casimito","3756719400","110085","540146","34125","3522709","2114934","true","true","Portuguese","casimito"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/64d44235-1dee-4bca-95da-bee1ee96eea3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","alanzoka","1788691590","97800","72306","18289","6318416","714389","true","false","Portuguese","alanzoka"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/d96bbd7a-26e5-4c5e-b6a5-149d708a973b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","PaulinhoLOKObr","1741047015","30480","149938","57120","2126534","1539481","true","false","Portuguese","PaulinhoLOKObr"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/5bb6bc7d-4371-4f10-8827-7dc925f83230-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","gabepeixe","1740227040","159945","85530","10880","1109423","524632","true","false","Portuguese","gabepeixe"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/e5e89aba-723b-4ba1-852c-d8fba19b1da1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","YoDa","1644961515","153225","41635","10735","2399683","171348","true","false","Portuguese","YoDa"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/8293c341-9a4a-4052-98b4-049781ae2cc0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","CBLOL","1495957035","51765","173492","28899","1559165","142261","true","false","Portuguese","CBLOL"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/0863a8b0-7fdb-44a9-8212-680cfbaa38f9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LuquEt4","1482167790","104040","92525","14245","1298815","951435","true","false","Portuguese","LuquEt4"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/0595cdd0-65a7-4fa3-996d-323cf3a54be1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Cellbit","1355833065","79395","149983","17077","2631483","331296","true","true","Portuguese","Cellbit"