Game,Hours Watched,Peak Viewers,Average Viewers,Peak Channels,Average Channels,Viewers per Channel
Just Chatting,55 927 732,660 870,333 234,5 947,4 044,111
League of Legends,36 080 252,1 022 585,214 978,4 598,2 996,222
FIFA 23,30 200 534,485 979,179 944,6 198,1 886,78
Valorant,22 249 140,241 114,132 568,7 720,5 399,31
Grand Theft Auto V,21 113 782,303 300,125 803,4 663,2 608,65
World of Warcraft,15 942 192,383 776,94 989,7 303,2 164,53
Counter-Strike: Global Offensive,15 533 199,436 586,92 552,2 066,1 085,211
Minecraft,12 550 821,477 833,74 782,3 654,1 987,131
Apex Legends,10 626 177,133 739,63 315,6 808,4 240,20
Fortnite,7 926 412,97 568,47 229,7 803,4 747,13
Slots,7 693 090,104 069,45 839,240,152,434
Dota 2,7 205 105,84 735,42 931,1 735,910,49
Call of Duty: Warzone,5 559 193,69 149,33 124,4 908,2 365,14
Genshin Impact,4 820 955,78 603,28 726,6 645,2 260,12
Dead by Daylight,4 614 184,57 016,27 493,2 676,1 608,21
Teamfight Tactics,4 330 153,54 890,25 801,542,352,101
Music,3 926 915,51 037,23 399,1 634,1 009,31
Hearthstone,3 711 432,51 025,22 115,291,169,175
Grounded,3 002 266,134 052,17 961,863,319,155
Fall Guys: Ultimate Knockout,2 895 418,186 630,17 253,1 083,528,172