Channel Name,Language,Total Followers,Hours Watched,Peak Viewers,Average Viewers,Airtime,Followers Gain
Riot Games,EN,6.23M,5 992 182,361 628,137 752,43h 30m,87 664
ESL_CSGO,EN,5.62M,5 258 125,203 781,33 457,157h 10m,29 678
KaiCenat,EN,2.27M,4 171 372,187 704,65 349,63h 50m,117 718
Trymacs,DE,3.14M,4 053 039,79 032,26 607,152h 20m,38 514
Gaules,PT,3.63M,2 938 964,85 669,17 626,166h 45m,7 057
eliasn97,DE,1.24M,2 887 147,100 103,53 466,54h,28 834
xQc,EN,11.20M,2 712 951,125 781,62 129,43h 40m,15 331
otplol_,FR,585K,2 314 423,118 042,13 777,168h,7 315
auronplay,ES,13.91M,2 270 767,222 507,105 210,21h 35m,38 681
CBLOL,PT,1.50M,1 800 912,170 898,72 765,24h 45m,15 060
MontanaBlack88,DE,4.70M,1 737 839,56 401,28 965,60h,24 259
csgo_mc,RU,1.16M,1 708 869,111 297,33 952,50h 20m,8 761
LLA,ES,541K,1 646 301,99 932,61 164,26h 55m,24 309
zackrawrr,EN,951K,1 583 972,79 340,22 985,68h 55m,26 483
HasanAbi,EN,2.22M,1 560 256,53 897,31 843,49h,16 676
LVPes,ES,1M,1 439 398,113 247,48 520,29h 40m,11 012
Castro_1021,EN,3.58M,1 400 499,53 186,31 651,44h 15m,35 011
우왁굳,KO,894K,1 303 764,55 038,20 861,62h 30m,4 399
ElSpreen,ES,5.56M,1 280 692,140 125,62 473,20h 30m,55 604
fps_shaka,JA,951K,1 133 098,39 780,18 106,62h 35m,3 829