platform,channel_id,channel_name,followers_gain,last_streamed_game,channel_country,stream_language,partnership_status,channel_type
twitch,36029255,riotgames,63633,League of Legends,,en,partner,Organization
twitch,156037856,fextralife,48484,Overwatch 2,,en,partner,Organization
twitch,181077473,gaules,16190,Counter-Strike: Global Offensive,BR,pt,partner,Male
twitch,87056709,pgl_dota2,34726,Dota 2,RO,en,partner,Organization
twitch,622498423,otplol_,5465,League of Legends,FR,fr,partner,Organization
twitch,71092938,xqc,36001,Overwatch 2,CA,en,partner,Male
twitch,67708794,nix,22385,Dota 2,RU,ru,partner,Male
twitch,22346597,lvpes,8642,League of Legends,ES,es,partner,Organization
twitch,641972806,kaicenat,76094,Just Chatting,US,en,partner,Male
twitch,90075649,illojuan,25395,Pokémon Community Game,ES,es,partner,Male
twitch,190835892,lck_korea,4681,League of Legends,KR,ko,partner,Organization
twitch,459331509,auronplay,34144,Minecraft,ES,es,partner,Male
twitch,194701696,pgl_dota2en2,24367,Dota 2,RO,en,partner,Organization
twitch,238813810,eliasn97,10296,FIFA 23,DE,de,partner,Male
twitch,59299632,adinross,58049,Just Chatting,US,en,partner,Male
twitch,49207184,fps_shaka,3524,Omega Strikers,JP,ja,partner,Male
twitch,129339704,betboom_ru,19819,Dota 2,RU,ru,partner,Organization
twitch,142055874,lla,8603,League of Legends,,es,partner,Organization
twitch,207813352,hasanabi,11240,Just Chatting,US,en,partner,Male
twitch,71190292,trainwreckstv,7825,Slots,US,en,partner,Male
twitch,26490481,summit1g,7470,Overwatch 2,US,en,partner,Male
twitch,36511475,cblol,3202,League of Legends,BR,pt,partner,Organization
twitch,37402112,shroud,18299,Overwatch 2,CA,en,partner,Male
twitch,83232866,ibai,20070,League of Legends,ES,es,partner,Male
twitch,31239503,esl_csgo,10042,Counter-Strike: Global Offensive,,en,partner,Organization
twitch,19070311,a_seagull,27954,Overwatch 2,US,en,partner,Male
twitch,31919607,elxokas,8316,Pokémon Community Game,ES,es,partner,Male
twitch,52091823,castro_1021,11327,FIFA 23,US,en,partner,Male
twitch,157658336,elspreen,37344,Minecraft,AR,es,partner,Male
twitch,42316376,just_ns,4187,Dota 2,RU,ru,partner,Male
twitch,50988750,stylishnoob4,2677,Final Fantasy XIV Online,JP,ja,partner,Male
twitch,138094916,sinatraa,27318,Overwatch 2,US,en,partner,Male
twitch,731357212,onextwo_,16628,Unknown,,en,without status,
twitch,94753024,mizkif,-18960,Just Chatting,US,en,partner,Male
twitch,51496027,loltyler1,5293,League of Legends,US,en,partner,Male
twitch,57781936,rocketleague,8320,Rocket League,,en,partner,Organization
twitch,139470326,handongsuk,1031,For The King,KR,ko,partner,Male
twitch,168732568,westcol,48200,Just Chatting,CO,es,partner,Male
twitch,23161357,lirik,2544,Overwatch 2,US,en,partner,Male
twitch,496795673,elmariana,33319,The Last of Us Part I,MX,es,partner,Male
twitch,64342766,trymacs,9919,Clash of Clans,DE,de,partner,Male
twitch,85397463,noway4u_sir,1410,League of Legends,DE,de,partner,Male
twitch,552120296,zackrawrr,14206,Overwatch 2,US,en,without status,Male
twitch,44525650,k4sen,4776,Overwatch 2,JP,ja,partner,Male
twitch,84316241,penta,3157,Grand Theft Auto V,US,en,partner,Male
twitch,254489093,casimito,9437,Sports,BR,pt,partner,Male
twitch,108268890,gorgc,3164,Dota 2,SE,en,partner,Male
twitch,40336240,summonersinnlive,1810,League of Legends,DE,de,partner,Organization
twitch,39276140,rubius,24072,Minecraft,ES,es,partner,Male
twitch,152633332,knekro,14745,Pokémon Community Game,ES,es,partner,Male
twitch,155601320,jltomy,1993,Grand Theft Auto V,FR,fr,partner,Male
twitch,125387632,amouranth,13213,Just Chatting,US,en,partner,Female
twitch,56649026,quin69,1407,Terraria,NZ,en,partner,Male
twitch,7236692,dansgaming,495,Resident Evil 4,US,en,partner,Male
twitch,192678094,chap,781,The Cycle: Frontier,US,en,partner,Male
twitch,77827128,tumblurr,5053,Slots,IT,it,partner,Male
twitch,12943173,pokelawls,7198,Overwatch 2,US,en,partner,Male
twitch,25202416,shuteye_orange,691,Just Chatting,TW,zh,partner,Male
twitch,38244180,alanzoka,11729,God of War,BR,pt,partner,Male
twitch,128293484,k3soju,1763,Teamfight Tactics,US,en,partner,Male
twitch,114772787,agustabell212,4477,Rust,ES,es,partner,Male
twitch,60056333,tfue,12567,Fortnite,US,en,partner,Male
twitch,51929371,ml7support,18289,Overwatch 2,RO,en,partner,Male
twitch,485855940,lolpacifictw,2201,League of Legends,TW,zh,partner,Organization
twitch,121059319,moonmoon,1066,Terraria,US,en,partner,Male
twitch,132230344,moistcr1tikal,21295,Overwatch 2,US,en,partner,Male
twitch,214062798,btssmash,3720,Super Smash Bros. Melee,,en,partner,Organization
twitch,140772558,baiano,1612,League of Legends,BR,pt,partner,Male
twitch,39154778,recrent,7302,Overwatch 2,RU,ru,partner,Male
twitch,15564828,nickmercs,2919,Apex Legends,US,en,partner,Male
twitch,135468063,antoinedaniel,2899,Among Us,FR,fr,partner,Male
twitch,36138196,alexelcapo,6274,Pokémon Community Game,ES,es,partner,Male
twitch,165080419,elraenn,12614,Ranch Simulator,TR,tr,partner,Male
twitch,194702141,pgl_dota2en4,25694,Dota 2,,en,partner,
twitch,26921830,elajjaz,285,The Evil Within,SE,en,partner,Male
twitch,40063341,domingo,12987,Talk Shows & Podcasts,FR,fr,partner,Male
twitch,27115917,kamet0,3229,Rocket League,FR,fr,partner,Male
twitch,49440419,qojqva,3365,Dota 2,DE,en,partner,Male
twitch,100901794,shylily,16584,Just Chatting,DE,en,partner,Female
twitch,36340781,tarik,4719,VALORANT,US,en,partner,Male
twitch,26610234,cohhcarnage,297,Scorn,US,en,partner,Male
twitch,26301881,sodapoppin,932,World of Warcraft,US,en,partner,Male
twitch,59635827,supertf,12477,Overwatch 2,US,en,partner,Male
twitch,86277097,buster,10666,Dota 2,RU,ru,partner,Male
twitch,20992865,grubby,4922,Dota 2,NL,en,partner,Male
twitch,65171890,rainbow6,2403,Tom Clancy's Rainbow Six Siege,,en,partner,Organization
twitch,59799994,gabepeixe,6761,Grand Theft Auto V,BR,pt,partner,Male
twitch,23220337,emongg,12664,Overwatch 2,US,en,partner,Male
twitch,49839696,rebirthztv,3380,Grand Theft Auto V,TH,th,partner,Male
twitch,445529741,kyedae,15775,VALORANT,CA,en,partner,Female
twitch,652452451,meduska,16842,Just Chatting,PL,pl,partner,
twitch,30220059,esl_sc2,1078,StarCraft II,,en,partner,Organization
twitch,49045679,woowakgood,1752,Just Chatting,KR,ko,partner,Male
twitch,104833324,riotgamesjp,1188,League of Legends,JP,ja,partner,Organization
twitch,40488774,stray228,5653,Dota 2,RU,ru,partner,Male
twitch,35936871,esl_csgob,4059,Counter-Strike: Global Offensive,,en,partner,Organization
twitch,194701994,pgl_dota2en3,23912,Dota 2,,en,partner,
twitch,121510236,juansguarnizo,13025,Minecraft,CO,es,partner,Male
twitch,30857876,folagorlives,8404,Pokémon Community Game,ES,es,partner,Male
twitch,22484632,forsen,498,Terraria,SE,en,partner,Male
